seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
12405,2024,"2024 Liga Profesional Boliviana, Apertura- Semifinals",apertura--semifinals,620,BOL.1,Bolivian Liga Profesional,Bolivian Liga Profesional
12404,2024,"2024 Liga Profesional Boliviana, Apertura - Final",apertura---final,620,BOL.1,Bolivian Liga Profesional,Bolivian Liga Profesional
13087,2024,2024 Bolivian Liga Profesional Promotion/Relegation Playoffs,2024-bolivian-liga-profesional-promotionrelegation-playoffs,20525,BOL.PLY.REL,Bolivian Liga Profesional Promotion/Relegation Playoffs,Bolivian Liga Pro/Rel
12474,2024,2024 Brasileiro Serie A ,2024-brasileiro-serie-a,630,BRA.1,Brazilian Serie A,Brazil Serie A
12493,2024,2024 Brasileiro Serie B,2024-brasileiro-serie-b,4007,BRA.2,Brazilian Serie B,Brazil Serie B
12494,2024,"2024 Brasileiro C, Finals",finals,11088,BRA.3,Brazilian Serie C,Brasileiro C
12495,2024,"2024 Brasileiro C, Second Stage",second-stage,11088,BRA.3,Brazilian Serie C,Brasileiro C
12496,2024,"2024 Brasileiro C, First Stage",first-stage,11088,BRA.3,Brazilian Serie C,Brasileiro C
12225,2024,"2024 Campeonato Carioca, Carioca Championship - Final",carioca-championship---final,2265,BRA.CAMP.CARIOCA,Brazilian Campeonato Carioca,Brazil Carioca
12226,2024,"2024 Campeonato Carioca, Carioca Championship - Semifinals",carioca-championship---semifinals,2265,BRA.CAMP.CARIOCA,Brazilian Campeonato Carioca,Brazil Carioca
12227,2024,"2024 Campeonato Carioca, Taça Rio - Finals",taca-rio---finals,2265,BRA.CAMP.CARIOCA,Brazilian Campeonato Carioca,Brazil Carioca
12228,2024,"2024 Campeonato Carioca, Taça Rio - Semifinals",taca-rio---semifinals,2265,BRA.CAMP.CARIOCA,Brazilian Campeonato Carioca,Brazil Carioca
12229,2024,"2024 Campeonato Carioca, Taca Guanabara",taca-guanabara,2265,BRA.CAMP.CARIOCA,Brazilian Campeonato Carioca,Brazil Carioca
12233,2024,"2024 Campeonato Gaucho, First Round",first-round,2272,BRA.CAMP.GAUCHO,Brazilian Campeonato Gaucho,Brazil Gaucho
12470,2024,"2024 Campeonato Gaucho, Finals",finals,2272,BRA.CAMP.GAUCHO,Brazilian Campeonato Gaucho,Brazil Gaucho
12469,2024,"2024 Campeonato Gaucho, Semifinals",semifinals,2272,BRA.CAMP.GAUCHO,Brazilian Campeonato Gaucho,Brazil Gaucho
12468,2024,"2024 Campeonato Gaucho, Quarterfinals",quarterfinals,2272,BRA.CAMP.GAUCHO,Brazilian Campeonato Gaucho,Brazil Gaucho
12267,2024,"2024 Brazilian Campeonato Mineiro, Troféu Inconfidência - Semifinals",trofeu-inconfidencia---semifinals,10872,BRA.CAMP.MINEIRO,Brazilian Campeonato Mineiro,Brazil Mineiro
12264,2024,"2024 Brazilian Campeonato Mineiro, Relegation Group",relegation-group,10872,BRA.CAMP.MINEIRO,Brazilian Campeonato Mineiro,Brazil Mineiro
12269,2024,"2024 Brazilian Campeonato Mineiro, Playoffs - Semifinals",playoffs---semifinals,10872,BRA.CAMP.MINEIRO,Brazilian Campeonato Mineiro,Brazil Mineiro
12270,2024,"2024 Brazilian Campeonato Mineiro, Regular Season",regular-season,10872,BRA.CAMP.MINEIRO,Brazilian Campeonato Mineiro,Brazil Mineiro
12268,2024,"2024 Brazilian Campeonato Mineiro, Playoffs - Finals",playoffs---finals,10872,BRA.CAMP.MINEIRO,Brazilian Campeonato Mineiro,Brazil Mineiro
12266,2024,"2024 Brazilian Campeonato Mineiro, Troféu Inconfidência - Finals",trofeu-inconfidencia---finals,10872,BRA.CAMP.MINEIRO,Brazilian Campeonato Mineiro,Brazil Mineiro
12251,2024,"2024 Campeonato Paulista, Semifinals",semifinals,8207,BRA.CAMP.PAULISTA,Brazilian Campeonato Paulista,Brazil Paulista
12250,2024,"2024 Campeonato Paulista, Finals",finals,8207,BRA.CAMP.PAULISTA,Brazilian Campeonato Paulista,Brazil Paulista
12252,2024,"2024 Campeonato Paulista, Quarterfinals",quarterfinals,8207,BRA.CAMP.PAULISTA,Brazilian Campeonato Paulista,Brazil Paulista
12253,2024,"2024 Campeonato Paulista, Temporada Regular",temporada-regular,8207,BRA.CAMP.PAULISTA,Brazilian Campeonato Paulista,Brazil Paulista
12445,2024,"2024 Copa Do Brasil, Second Round",second-round,8306,BRA.COPA_DO_BRAZIL,Copa do Brasil,Copa Do Brazil
12444,2024,"2024 Copa do Brasil, Third Round",third-round,8306,BRA.COPA_DO_BRAZIL,Copa do Brasil,Copa Do Brazil
12443,2024,"2024 Copa do Brasil, Round of 16",round-of-16,8306,BRA.COPA_DO_BRAZIL,Copa do Brasil,Copa Do Brazil
12442,2024,"2024 Copa do Brasil, Quarterfinals",quarterfinals,8306,BRA.COPA_DO_BRAZIL,Copa do Brasil,Copa Do Brazil
12441,2024,"2024 Copa do Brasil, Semifinals",semifinals,8306,BRA.COPA_DO_BRAZIL,Copa do Brasil,Copa Do Brazil
12440,2024,"2024 Copa do Brasil, Finals",finals,8306,BRA.COPA_DO_BRAZIL,Copa do Brasil,Copa Do Brazil
12446,2024,"2024 Copa do Brasil, First Round",first-round,8306,BRA.COPA_DO_BRAZIL,Copa do Brasil,Copa Do Brazil
12432,2024,"2024 Copa do Nordeste, Finals",finals,10951,BRA.COPA_DO_NORDESTE,Copa do Nordeste,Copa do Nordeste
12433,2024,"2024 Copa do Nordeste, Semifinals",semifinals,10951,BRA.COPA_DO_NORDESTE,Copa do Nordeste,Copa do Nordeste
12435,2024,"2024 Copa do Nordeste, Group Stage",group-stage,10951,BRA.COPA_DO_NORDESTE,Copa do Nordeste,Copa do Nordeste
12434,2024,"2024 Copa do Nordeste, Quarterfinals",quarterfinals,10951,BRA.COPA_DO_NORDESTE,Copa do Nordeste,Copa do Nordeste
12968,2024,"2024-25 CAF Champions League, Group Stage",group-stage,2391,CAF.CHAMPIONS,CAF Champions League,CAF Champions League
12967,2024,"2024-25 CAF Champions League, Quarterfinals",quarterfinals,2391,CAF.CHAMPIONS,CAF Champions League,CAF Champions League
12971,2024,"2024 African Nations Championship Qualifying, Second Round",second-round,20866,CAF.CHAMPIONSHIP_QUAL,African Nations Championship Qualifying,CHAN Qualifying
12972,2024,"2024 African Nations Championship Qualifying, First Round",first-round,20866,CAF.CHAMPIONSHIP_QUAL,African Nations Championship Qualifying,CHAN Qualifying
12963,2024,"2024-25 CAF Confederation Cup, Quarterfinals",quarterfinals,18000,CAF.CONFED,CAF Confederation Cup,CAF Confederation Cup
12964,2024,"2024-25 CAF Confederation Cup, Group Stage",group-stage,18000,CAF.CONFED,CAF Confederation Cup,CAF Confederation Cup
12696,2024,"2024 COSAFA Cup, Final",final,20220,CAF.COSAFA,COSAFA Cup,COSAFA Cup
12697,2024,"2024 COSAFA Cup, Third Place Match",third-place-match,20220,CAF.COSAFA,COSAFA Cup,COSAFA Cup
12698,2024,"2024 COSAFA Cup, Semifinals",semifinals,20220,CAF.COSAFA,COSAFA Cup,COSAFA Cup
12699,2024,"2024 COSAFA Cup, Group Stage",group-stage,20220,CAF.COSAFA,COSAFA Cup,COSAFA Cup
12504,2024,"2025 Africa Cup of Nations Qualifying, Group Stage",group-stage,8315,CAF.NATIONS_QUAL,Africa Cup of Nations Qualifying,AFCON Qualifying
12505,2024,"2025 Africa Cup of Nations Qualifying, Preliminary Round",preliminary-round,8315,CAF.NATIONS_QUAL,Africa Cup of Nations Qualifying,AFCON Qualifying
12845,2024,2024 Campeones Cup,2024-campeones-cup,18771,CAMPEONES.CUP,Campeones Cup,Campeones Cup
12411,2024,2024 Primera División de Chile,2024-primera-division-de-chile,640,CHI.1,Chilean Primera División,Chilean Primera
12518,2024,"2024 Copa Chile, National Stage Semifinals",national-stage-semifinals,8312,CHI.COPA_CHI,Copa Chile,Copa Chile
12519,2024,"2024 Copa Chile, Regional Stage Finals",regional-stage-finals,8312,CHI.COPA_CHI,Copa Chile,Copa Chile
12520,2024,"2024 Copa Chile, Regional Stage Semifinals",regional-stage-semifinals,8312,CHI.COPA_CHI,Copa Chile,Copa Chile
12521,2024,"2024 Copa Chile, Regional Stage Quarterfinals",regional-stage-quarterfinals,8312,CHI.COPA_CHI,Copa Chile,Copa Chile
12517,2024,"2024 Copa Chile, National Stage Final",national-stage-final,8312,CHI.COPA_CHI,Copa Chile,Copa Chile
12282,2024,2024 Club Friendly,2024-club-friendly,19834,CLUB.FRIENDLY,Club Friendly,Club Friendly
12352,2024,"2024 Liga BetPlay, Semifinals",semifinals,650,COL.1,Colombian Primera A,Colombian Primera A
12353,2024,"2024 Liga BetPlay, Apertura",apertura,650,COL.1,Colombian Primera A,Colombian Primera A
12351,2024,"2024 Liga BetPlay, Finals",finals,650,COL.1,Colombian Primera A,Colombian Primera A
12348,2024,"2024 Liga BetPlay, Playoffs - Finals",playoffs---finals,650,COL.1,Colombian Primera A,Colombian Primera A
